,from,text
187,Crystal,Ok
188,Crystal,1pm bah
189,Crystal,Aiyo
190,Crystal,How r u feeling now
193,Crystal,Hmm
194,Crystal,Did u drink some hangover cures ?:)
198,Crystal,Aite
199,Crystal,I help u
200,Crystal,We go find somewhr to sit n chill
201,Crystal,Yr softball buddies rching at 130 ?
202,Crystal,Am hereeee
203,Crystal,Whts yr eta!
208,Crystal,Aiyooo
209,Crystal,Taxi stand ah
210,Crystal,Ok wait i go use the washroom real quick
213,Crystal,Ohhh
215,Crystal,Ok just tell me when u rch ba
216,Crystal,I will use the washroom hehe
220,Crystal,Im at plq mall!
221,Crystal,In the washrm
224,Crystal,Aiyi
225,Crystal,Aiyo
226,Crystal,Im coming outta mall
229,Crystal,Kk
230,Crystal,Just text me when u rch
233,Crystal,Ok
234,Crystal,B1 got taxi stand???
235,Crystal,Im inside b1
236,Crystal,Dont hv leh
237,Crystal,Im in b1
242,Crystal,LOL ok
246,Crystal,T3 850pm right
250,Crystal,Aiyo ok
251,Crystal,I rch by 830 cn
252,Crystal,?
255,Crystal,Yes
256,Crystal,Im here
257,Crystal,R u at T3 departure hall
260,Crystal,Im here
261,Crystal,Ok
262,Crystal,Coming
264,Crystal,Am u ind
265,Crystal,I
266,Crystal,Blind
268,Crystal,
270,Crystal,Get thr safely min!
271,Crystal,
272,Crystal,
275,Crystal,
277,Crystal,Very shy
278,Crystal,Introverted and also maybe cuz shes very tired
279,Crystal,She seems tired
280,Crystal,🥺
281,Crystal,Tell ehr to get more rest
282,Crystal,Hope she sleeps well tonite
284,Crystal,But she also gives me chill vibes
285,Crystal,Which is nice
287,Crystal,Mmm
290,Crystal,Aiyi
291,Crystal,Hey min min
292,Crystal,Hows korea
296,Crystal,Aiyo
297,Crystal,Minn
298,Crystal,When r u coming back brothee
299,Crystal,Brother
303,Crystal,Ooo
304,Crystal,Ok got it
305,Crystal,Will keep a look iut for tht week
307,Crystal,Eh min
308,Crystal,U r still in korea right
309,Crystal,Cn help me buy sunblock ahaha
310,Crystal,My sunblock is misha
311,Crystal,Missha
312,Crystal,Hehe
315,Crystal,Missha sunblock!
317,Crystal,
318,Crystal,Get this one!
319,Crystal,Cn also try get this one?
320,Crystal,
321,Crystal,Wna try new sunscreen hehe
322,Crystal,Hehe thanks
323,Crystal,Cn i book 30th july!
324,Crystal,Maybe aftn!
328,Crystal,Aw pk
329,Crystal,Ok
331,Crystal,R u bck in sg
333,Crystal,Omo did u get it?
335,Crystal,I cnt anymore
336,Crystal,Let me check next wk when i cn?
338,Crystal,When cn u next wk?
340,Crystal,This is missha?
341,Crystal,:0
344,Crystal,O:
345,Crystal,Interesting
347,Crystal,Guess i woll try new sunbkicj lmao
348,Crystal,🙈
350,Crystal,No worry
351,Crystal,☺️
355,Crystal,Tdy cmi
356,Crystal,Ermzies ok how ant sunday afternoon
359,Crystal,what time!
360,Crystal,i got fam dinner on sunday night but im free after church
361,Crystal,where do u wna go!
362,Crystal,n what do u wna do
365,Crystal,How abt morning
366,Crystal,What time u wake up
368,Crystal,okiewww
369,Crystal,so any place in particular u wna go?
371,Crystal,or actl do u wnt to do 15th aug because then we cn eat out
373,Crystal,my leg injured recently again so might not be a good idea
375,Crystal,i sprained another ankle
376,Crystal,trekking macritchie
378,Crystal,🙁
379,Crystal,ye and my other knee is still not healed
380,Crystal,completely
381,Crystal,so
383,Crystal,tqqqq
384,Crystal,i was thinking we cn do sth chill
386,Crystal,maybe we can go singpore river
388,Crystal,think need book beforehand i get back again to u tmr
389,Crystal,but lets settle on 15th?
391,Crystal,🙂 then we can hv lunch and all
392,Crystal,
393,Crystal,Min
394,Crystal,U wnt hv like breakfast instead or sth
396,Crystal,Mmm like 10am?
397,Crystal,Whr will be at
398,Crystal,Ntu hall?
402,Crystal,Nah we cn meet nearby!
403,Crystal,Any good breakfast places near the hall?:)
406,Crystal,Bruh
408,Crystal,
409,Crystal,HHAAHAHAHHA
410,Crystal,How abt JE area
411,Crystal,Thr r 3 malls thr
413,Crystal,Nice c ya at 10 at JE !
414,Crystal,Make that 1030 ! I realise i need more time to travel from church
415,Crystal,We cn hv brunch keke
418,Crystal,
422,Crystal,haha min
423,Crystal,"SINGAPORE: Unvaccinated people can dine in at food and beverage establishments if they have a negative pre-event COVID-19 result from an approved test provider, said the Ministry of Health (MOH) early on Tuesday (Aug 10)."
424,Crystal,ye i think we have to postpone to another day
425,Crystal,when u getting vaxxed?
433,Crystal,Idk how up to date the tesr has tk be leh
434,Crystal,To
435,Crystal,:/
438,Crystal,Ok sure idm but i a bit sick of parks
439,Crystal,So maybe we cn move to a later date?
440,Crystal,😔
442,Crystal,I need to like space out my park usage
444,Crystal,Okie ye no worries XD we cn always meet early sept
445,Crystal,Ye
446,Crystal,Oh
447,Crystal,But i do wnt my sunscreen LOL
450,Crystal,R u gna be anywhr not  ntu soon
454,Crystal,ahhaha okie what time !
456,Crystal,like late aftn/
457,Crystal,?
460,Crystal,okie!
464,Crystal,Sounds real good
465,Crystal,Hi MIN I LOVE YOU BROTHER !
467,Crystal,Just wanted to say thank you for being there for me all these years. Thank you for being you . For being the gentle brother you are . I appreciate our friendship but even if we did nothing i simply appreciate you as a creation of the wonderful God who made the universe . I appreciate you . Love you
468,Crystal,
471,Crystal,
473,Crystal,?.?
474,Crystal,Confused what
476,Crystal,Oh u mean sat
481,Crystal,Wah tmr i dam busy a bit hard :( unless u want like 1pm or sth
484,Crystal,Whr will u be at!
487,Crystal,Okie sounds good to me !
489,Crystal,u showing around your friend?
491,Crystal,mmmmm i will rch ard 130!
492,Crystal,can i join yall for a bit?
493,Crystal,does yr friend mind?:D
494,Crystal,gotta leave at around 230 though
496,Crystal,
497,Crystal,Whr do i meet yall
498,Crystal,orchard mrt?
501,Crystal,oki
503,Crystal,.
508,Crystal,Hello
509,Crystal,Im gna be  late
510,Crystal,So sorry abt tht
511,Crystal,Im leaving house now
512,Crystal,Will rch in 30mins
515,Crystal,Okay!
517,Crystal,Im at newton
518,Crystal,So 2pm
519,Crystal,Im here
520,Crystal,Will walk over to muji
523,Crystal,???
527,Crystal,Okie
528,Crystal,Lovely meeting zion today !
529,Crystal,Hope she has a blessed time
530,Crystal,Tx for passing me the sunscreen btw appreciate it :)
531,Crystal,If yall go out n feel like jioing more people if im free im more than happy to help show zion around !
532,Crystal,:)
534,Crystal,Have u tried studying at jE
535,Crystal,Issit like viable
536,Crystal,Hahahha
541,Crystal,HHAHAHAHAHA
542,Crystal,Omgawd
543,Crystal,Im doing accounting this sem also
544,Crystal,But i cnt help
545,Crystal,Im relying on my friend
546,Crystal,
547,Crystal,Whyo?
549,Crystal,Oherr
550,Crystal,But u dont knoq the person
551,Crystal,Do u still need help?
552,Crystal,Maybe i cn forward yr qns
556,Crystal,omgawd
557,Crystal,im actl at ntu today HAHAHHA
558,Crystal,why?
560,Crystal,im in ntu right now
561,Crystal,sutdying alone
562,Crystal,cuz my friend ditched me for lab
564,Crystal,he will come back later
565,Crystal,e
566,Crystal,ye
568,Crystal,with my dance friend
569,Crystal,whr r u
570,Crystal,hahhahaha
573,Crystal,eh i leaving at night
574,Crystal,idk what time yet
575,Crystal,undecided
576,Crystal,why? whatsup 😆
577,Crystal,which school r u in
578,Crystal,im a tlike
579,Crystal,math and science school or sth
584,Crystal,😮
586,Crystal,nah
587,Crystal,i wnt go home to exercise
588,Crystal,before i sleep
589,Crystal,aiyo
590,Crystal,hmmm i update u again? i got a few unconfirmed plans
593,Crystal,
594,Crystal,
595,Crystal,jys min min
599,Crystal,NANI
600,Crystal,HAHAHHAHAH
602,Crystal,"21 Nanyang Link, 04-01 School of Physical and Mathematical Sciences, Singapore 637371"
603,Crystal,im studying on level 2
606,Crystal,r u coming?😮
608,Crystal,
609,Crystal,aww
610,Crystal,i will be in a lecture online
611,Crystal,but also like cn multitask
612,Crystal,hahahahahhahah
614,Crystal,
615,Crystal,oh but u r okay right cuz my friend will come back later during lunchies
616,Crystal,its dam annoying the 2 people restriction
617,Crystal,you can sit beside us
618,Crystal,on the table beside us
619,Crystal,i mean
621,Crystal,at
622,Crystal,HAHHAHHA
623,Crystal,NOT ON
624,Crystal,i mean you CAN ID  YOU WANT
625,Crystal,if
626,Crystal,🙂
627,Crystal,u rnt sitting on the tb\able
628,Crystal,so bad
629,Crystal,^
630,Crystal,you arent
631,Crystal,you are sitting at the table
632,Crystal,not on it
633,Crystal,ono
636,Crystal,like
638,Crystal,both of them?
639,Crystal,no
642,Crystal,ye
644,Crystal,omgawd wait r u ok
647,Crystal,issit life threatening
650,Crystal,oh no
651,Crystal,issit like deteroriating
652,Crystal,or is there a way to treat it
654,Crystal,like sleeping more and eating healthier?
656,Crystal,aiyo
659,Crystal,sleep morelah
660,Crystal,no more whiskey for you
663,Crystal,no
664,Crystal,.
665,Crystal,are you not worried that you will die early?
666,Crystal,
667,Crystal,im concerned
669,Crystal,im very concerned
673,Crystal,🙁
674,Crystal,but actually though
675,Crystal,how are you feeling about it
681,Crystal,thats an action word not a feeling word
682,Crystal,okay we should have dinner
683,Crystal,today
684,Crystal,
688,Crystal,yes ! sure
691,Crystal,oh no
692,Crystal,very nice
693,Crystal,like music to my ears
694,Crystal,no sacarsm
695,Crystal,
701,Crystal,ye sure
702,Crystal,we eating out of ntu rihgt
703,Crystal,right
706,Crystal,i need to travel back home anyway
708,Crystal,LOL
709,Crystal,ye okay:)
710,Crystal,what time
717,Crystal,i have  ameeting till 5pm
718,Crystal,how long do we need to get there
721,Crystal,hmm okay
722,Crystal,ono
723,Crystal,no
724,Crystal,no alcohol
725,Crystal,only food
726,Crystal,u drink fruit juice
732,Crystal,ad de
733,Crystal,ok
734,Crystal,
738,Crystal,In the same canteen as u
739,Crystal,Im waiting for my pasta
742,Crystal,nani
743,Crystal,HAHAHHA
744,Crystal,DED
748,Crystal,HHAHAHAHHA wait then how
749,Crystal,Cn u reschedule our booking to later
751,Crystal,Ok v good
752,Crystal,Or u wnt cancel also cn
755,Crystal,We cn eat at JE area ?
756,Crystal,Up to u
758,Crystal,Sure
762,Crystal,HHAHAHAHHA ok
763,Crystal,Send me the resturant number
767,Crystal,Hmmm
768,Crystal,U wnt to eat vegeterian ah
769,Crystal,My house area not a lot of such iptions other than subway so not rly
771,Crystal,O: u choose bah !
772,Crystal,Idm holland V or Bp
774,Crystal,...
778,Crystal,Ok roll a dice
779,Crystal,Or random number generator
781,Crystal,Wats 4
782,Crystal,Or u give me 2 numbers i choose 1
784,Crystal,13
787,Crystal,Idk
788,Crystal,U r suppose to decide beforehand
790,Crystal,Then u give me 2 numbers
792,Crystal,N i choose 1
793,Crystal,updat eme
794,Crystal,🙂
795,Crystal,🥰
796,Crystal,"[{'type': 'mention', 'text': '@bingenro'}]"
798,Crystal,7th Dec -1st week of Jan
802,Crystal,Hehe
803,Crystal,"[""Hey everyone🙂 Here's the Zoom link to TBQ happening tmr night! Seeya at 8pm\U0001f978\n\nTopic: The Biggest Question 2021❓\nTime: Oct 8, 2021 08:00 PM Singapore\n\nJoin Zoom Meeting\n"", {'type': 'link', 'text': 'https://us02web.zoom.us/j/89758809252?pwd=ckttRE40NTNYamVQOHFkSlZRbEFBdz09'}, '']"
804,Crystal,U wnt come ?:)
805,Crystal,Is the onw i mentioned
806,Crystal,"['The Biggest Question is only 2 days away!!!\n\nInvite your friends to join us as we explore what Jesus has to say about who gets to go to heaven. The Biggest Question is an evangelistic event where we organise a talk based on a student poll on the biggest question they have about life/God/Christianity. You are welcome to join even if you are not bringing any friends! \n\n', {'type': 'bold', 'text': 'See you Friday at 8pm!\n\n'}, 'Sign up here: ', {'type': 'link', 'text': 'http://tinyurl.com/tbq21'}]"
810,Crystal,No worriews
811,Crystal,
